Category	Question	Answer

MNP and RSP Workflow & Proposal Management	How do I create a new proposal?	Go to the M&P Proposal Form.<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/proposal/" target="_blank">https://devirmnp.indianrailways.gov.in/proposal/</a></span> <br/>The proposal form is divided into tabs, and you move through them one by one while entering the required details.<br/><br/>Below is a clear, detailed walkthrough:<br/><br/>🌟 1. Open the “M&P Proposal Form” page<br/><br/>This is the main page where all new proposals are created. You will see different tabs at the top—each tab collects a specific type of information.<br/>You start with the Main tab.<br/><br/>🌟 2. Fill in the “Main” tab first<br/><br/>The Main tab asks for basic but essential information such as:<br/>1. Proposal Category<br/>A choice field: Regular, Out of turn, Umbrella.<br/>Select the category that best describes the type of proposal you are creating.<br/><br/>2. Financial Year<br/>A dropdown where you choose the financial year for which this proposal applies.<br/>Pick the correct year from the list.<br/><br/>3. Replacement / Addition<br/>Radio buttons: choose Replacement if the item replaces an existing one, or Addition if it is a new item.<br/><br/>4. Department<br/>A read-only or pre-filled field showing your department.<br/>Usually auto-filled from your user profile.<br/><br/>5. Division<br/>A pre-filled field showing your division (e.g., DLI).<br/>Auto-filled based on your user account or selection.<br/><br/>6. Railway<br/>A pre-filled field showing the railway zone (e.g., NR).<br/>Auto-filled from your user profile or role..<br/><br/>🌟 3. Click “Save and Continue” to move ahead<br/><br/>After filling the Main tab, click the Save and Continue button.<br/>When you do this:<br/>The system creates a draft automatically<br/>Your work is saved<br/>A draft entry for your proposal now appears in the List of Proposals section<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/list_of_proposal/" target="_blank">https://devirmnp.indianrailways.gov.in/list_of_proposal/</a></span> <br/>You can return later and continue filling without starting over<br/><br/>🌟 4. Fill the remaining tabs one by one<br/><br/>Each tab collects a different category of information. A typical proposal form includes tabs such as:<br/><br/><span style="font-weight:bold;">Cof/Comp</span> – comparable items or standard references<br/><span style="font-weight:bold;">Cost Details</span> – full cost structure, components, and estimates<br/><span style="font-weight:bold;">Justification</span> – why the item is needed<br/><span style="font-weight:bold;">ROR</span> (Reason of Requirement) – detailed reasoning and operational background<br/><span style="font-weight:bold;">Upload Documents</span> – attach supporting files like specifications, quotations, images, etc.<br/>You can switch between the tabs freely.<br/><br/>🌟 5. Use the “Save Draft” button anytime<br/><br/>Apart from the automatic draft created earlier, the form also provides a Save Draft button.<br/>You can use this button to:<br/>Update your draft with new information<br/>Save changes as you edit<br/>Store uploaded documents<br/>Ensure no data is lost while working<br/>Saving a draft does not submit the proposal or lock anything.<br/><br/>🌟 6. Return to your draft whenever you want<br/><br/>Whenever you want to continue working:<br/>Go to List of Proposals<br/>Find your proposal marked as Draft<br/>Open it and proceed with the remaining tabs<br/>You can edit your draft as many times as required.<br/><br/>🌟 7. When everything is complete, move to final steps<br/><br/>Once all tabs are filled and documents are attached:<br/><span style="font-weight:bold;">Finalize</span> the proposal (this checks your data and locks the completed version)<br/><span style="font-weight:bold;">Initiate</span> the proposal (this sends it into the official approval process)<br/><br/>For the complete flow explained in a video manual, please refer to the Help Center.<br/>You can access it here:<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/content_list/" target="_blank">https://devirmnp.indianrailways.gov.in/content_list/</a></span> :: /static/doc/mnp1.pdf
MNP and RSP Workflow & Proposal Management	Can I save a proposal and complete it later?	Yes. The system is designed so that you can start a proposal and finish it whenever you want.<br/><br/>When you begin filling the form, the system automatically creates a draft as soon as you complete the first tab and click “Save and Continue.” You do not need to do anything extra. This automatic draft stores all the details you have entered so far.<br/><br/>After this point, the draft becomes visible in the “List of Proposals” section.<br/>👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/list_of_proposal/#cof" target="_blank">https://devirmnp.indianrailways.gov.in/list_of_proposal/#cof</a></span> <br/>You can open it anytime, continue entering information, and resume the proposal from where you left off.<br/><br/>In addition to the automatic draft, there is also a “Save Draft” button available on the form. You can use this button whenever you want to manually update your draft with the latest information. This ensures that your ongoing changes are stored safely without submitting the proposal for finalization or approval.<br/><br/>In summary:<br/><br/>The draft is created automatically after the first tab.<br/>It appears in the List of Proposals, where you can access it later.<br/>You may continue editing it at any time.<br/>The Save Draft button lets you keep updating and saving changes while you work.<br/>This allows you to complete the proposal at your own pace without losing any information. :: /static/doc/mnp2.pdf
MNP and RSP Workflow & Proposal Management	What is the difference between "Save Draft," "Finalize," and "Initiate?	Save Draft:<br/>Use Save Draft when you want to store the information you have entered so far without submitting it for any checks or processing. This option simply saves your work-in-progress so you can return later and continue. At this stage, the proposal is visible only to you and does not enter any workflow.<br/><br/>Finalize:<br/>Select Finalize when all required details and documents have been entered correctly and the proposal is complete. The system will perform necessary validations and lock the proposal as a finalized version. Finalizing prepares the proposal for submission but does not start the approval process.<br/><br/>Initiate:<br/>Choose Initiate when you are ready for the proposal to move into the official approval workflow. This action forwards the proposal to the designated officers for review, vetting, and approval according to the workflow rules.<br/><br/>You will see all three buttons inside the proposal form.
MNP and RSP Workflow & Proposal Management	How do I know where my proposal is in the approval process?	You can track everything from the Workflow Application page. 👉 <span style="text-decoration:underline;text-decoration-skip-ink:none;-webkit-text-decoration-skip:none;color:#1155cc;"><a href="https://devirmnp.indianrailways.gov.in/workflow_application/" target="_blank">https://devirmnp.indianrailways.gov.in/workflow_application/</a></span> <br/>This page shows every file that is currently moving through the approval chain.<br/>Here’s how to understand it step-by-step:<br/>🌟 1. Go to the “Workflow Application” page<br/>This is where the system shows all files that require your attention.<br/>You will see tabs like:<br/><br/>Pending for action (files waiting for you)<br/>Pending for comments<br/>Forwarded/Reverted/Vetting<br/>Approved / Rejected<br/>Sanction<br/>Sent Info<br/><br/>Each tab groups files by their status so you know exactly what is happening.<br/><br/>🌟 2. Look at “Pending for action” <br/><br/>In the screenshot, we are on Pending for action (15).<br/>This means 15 files are waiting for your action, such as forward, approve, comment, or upload something.<br/><br/>🌟 3. Understand the table columns<br/>The table lists each file in a row and tells you:<br/><br/>Activity Name – What type of file it is (e.g., RSP Proposal)<br/>Railway/Type – Which railway/unit sent it<br/>File ID – Unique file number<br/>File Desc – Short description of the case<br/>Status – Current workflow stage (e.g., Ext. Forward)<br/>Sent By – Who forwarded the file to you<br/>Pending With – Who is supposed to act next<br/>Date – When it was received<br/>Document – PDF file attached<br/>File Movement – Shows full tracking history<br/>Action – Button to take action<br/>Info – Additional details<br/><br/>🌟 4. To check the full history (“Where is my file now?”)<br/><br/>Click the File Movement icon<br/>🔄 (the circular arrow pointed to in the screenshot).<br/><br/>This opens a detailed timeline showing:<br/>Who sent the file<br/>When it moved<br/>What action was taken<br/>Next person in the chain<br/>All remarks<br/>Complete audit trail<br/><br/>🌟 5. If you want to download or view documents<br/>Click the red PDF icon under the Document column.<br/><br/>🌟 6. If you want to take action on the file<br/>Click the blue download/arrow button under Action.<br/><br/>That page will let you:<br/>Forward<br/>Approve<br/>Return<br/>Upload<br/>Add comments<br/><br/>Complete your part of the workflow<br/><br/>⭐ Summary <br/><br/>Workflow Application = Your inbox/outbox of all files.<br/>Pending for Action = Files waiting for you.<br/>File Movement icon = Full tracking history of the proposal.<br/>Document icon = Attached PDF.<br/>Action button = Where you take your decision. :: /static/doc/mnp3.pdf
MNP and RSP Workflow & Proposal Management	What is the purpose of the M&P Proposal Form?	The M&P Proposal Form is used to create and submit proposals for Machinery & Plant (M&P) items within your railway unit.<br/>It collects all the necessary details required for approval, budgeting, and processing of an M&P requirement.<br/><br/>🌟 1. To request new machinery or replace existing equipment<br/>You can use this form when you need to:<br/>Purchase a new M&P item<br/>Replace an old or unserviceable machine<br/>Add additional equipment needed for operations<br/><br/>🌟 2. To provide complete technical and financial details<br/>The form organizes information into multiple tabs so you can clearly present:<br/>Basic proposal information<br/>Technical specifications<br/>Comparable items (Cof/Comp)<br/>Detailed cost estimates<br/>Justification and ROR<br/>Supporting documents<br/>This ensures your proposal is complete and easy for reviewers to process.<br/><br/>🌟 3. To create a proper audit trail and workflow<br/>Once submitted, the proposal enters the official approval workflow where:<br/>Officers review<br/>Finance examines<br/>Approvals and sanctions are recorded<br/>Movements are tracked<br/>The form ensures transparency and proper documentation at every stage.<br/><br/>🌟 4. To standardize proposal submission across divisions<br/>The Form ensures every proposal follows the same structure, making it easier for:<br/>Departments<br/>Divisions<br/>Zonal Headquarters<br/>Finance units<br/>to understand, compare, and evaluate proposals.<br/><br/>⭐ Summary<br/>The M&P Proposal Form is used to formally create, document, and submit a machinery or equipment requirement.<br/>It ensures all technical, financial, and justification details are provided so the proposal can move smoothly through the approval process.
MNP and RSP Workflow & Proposal Management	What other sections does the form include apart from the main tab?	After completing the Main tab, the M&P Proposal Form provides several additional sections.<br/>Each tab collects a different category of information needed to complete your proposal.<br/><br/>Here are the sections you will see:<br/><br/>🌟 1. Cof/Comp (Comparable Items)<br/>This tab is used to search for and add standard comparable items.<br/>It helps the reviewing officers understand similar models, specifications, and costs.<br/><br/>🌟 2. Cost Details<br/>Here you enter the complete cost structure, including:<br/>Base cost<br/>Taxes<br/>Additional charges<br/>Total estimated amount<br/>This tab ensures the financial details are clear and properly documented.<br/><br/>🌟 3. Justification<br/>Use this tab to explain why the item is required.<br/>You can describe:<br/>Operational need<br/>Safety requirement<br/>Maintenance issues<br/>Efficiency improvements<br/><br/>A clear justification helps with faster approval.<br/><br/>🌟 4. ROR (Reason of Requirement)<br/>This section captures a detailed reasoning and background for the proposal.<br/>It supports the justification by giving more context about the requirement.<br/><br/>🌟 5. Upload Documents<br/>In this tab, you can attach all supporting files such as:<br/>Technical specifications<br/>Quotations<br/>Images<br/>Layouts<br/>Letters<br/>Any mandatory documents<br/>Attachments make your proposal complete and easy to verify.<br/><br/>⭐ Summary<br/><br/>Apart from the Main tab, the proposal form includes:<br/>Cof/Comp • Cost Details • Justification • ROR • Upload Documents<br/>Each section captures important information to help process your proposal smoothly and accurately. :: /static/doc/mnp4.pdf
MNP and RSP Workflow & Proposal Management	How can I modify the proposal after initiation?	Once a proposal has been initiated, it enters the official workflow and cannot be edited directly.<br/>However, the system still allows modifications through the Revise option.<br/><br/>Here’s how it works:<br/><br/>🌟 1. Wait until the proposal comes back to you<br/>The proposal must be  reverted to you by the reviewing officer.<br/>This usually happens when they need corrections or additional information.<br/><br/>You will see the proposal under:<br/>👉 Workflow Application → Pending for Action<br/><br/>🌟 2. Click the “Revise” button<br/>When the proposal is pending with you, the Action column will show a Revise option.<br/>Click Revise to reopen the proposal form.<br/>This unlocks all tabs so you can edit:<br/>Main details<br/>Technical information<br/>Cost details<br/>Justification<br/>ROR<br/>Upload documents<br/><br/>🌟 3. Make the required changes<br/>After clicking Revise, the proposal becomes editable just like a draft.<br/>You can:<br/>Update entries<br/>Add or modify justification<br/>Upload new documents<br/>Correct mistakes<br/><br/>🌟 4. Save and re-submit<br/>Once your changes are complete:<br/>Click Initiate again to resend it into the approval workflow<br/>The reviewing officer will now receive the updated version.<br/><br/>⭐ Summary<br/>You cannot edit an initiated proposal directly, but you can modify it when it is sent back to you by using the Revise button.<br/>This reopens the form, lets you update all details, and allows you to resubmit the corrected version.
MNP and RSP Workflow & Proposal Management	What's the difference between "reject", "revert", and "revise"?	These three actions look similar, but they do very different things inside the workflow.<br/><br/>Let’s break them down simply:<br/><br/>❌ 1. Reject<br/>Reject means the proposal is completely declined.<br/>The workflow ends<br/>The proposal cannot move forward<br/>No further action happens unless a fresh proposal is created<br/>Used when the proposal is not acceptable at all (not fixable or not required)<br/>Reject = Final dismissal<br/><br/>🔄 2. Revert<br/>Revert sends the proposal one step back in the workflow to the previous officer.<br/>Officers use Revert when:<br/>Corrections are required<br/>Documents are missing<br/>Clarifications are needed<br/>Something must be changed before approval<br/>After Revert, the file appears in your Pending for Action list.<br/>Revert = Send back for correction<br/><br/>✏️ 3. Revise<br/>Use Revise after the proposal is returned to you.<br/>This action reopens the proposal and allows editing of:<br/>Main details<br/>Cost<br/>Justification<br/>ROR<br/>Uploaded documents<br/>Any tab that needs correction<br/>After revising:<br/>Initiate again<br/>Revise = Edit the proposal after it returns to you<br/><br/>⭐ Summary Table<br/>Action	Who Uses It?	                                                What It Means	                                  What Happens?<br/>Reject	Approving officer	                                                Proposal is not accepted	                  Workflow ends completely<br/>Revert	Reviewing/Approving officer	                        Proposal needs correction	                  Sent back to previous user<br/>Revise	Proposal creator	                                                Edit/modify proposal after Revert	  Proposal becomes editable again<br/>🔑 In simple words<br/>Reject → Stop<br/>Revert → Send back<br/>Revise → Edit

